Продукт,Новая цена,Старая цена,Процент скидки
РУССКОЕ МОРЕ Икра мойвы деликатесная Люкс 100г ж/б с кл:6,109.99,159.99,-31%
РУССКИЕ ПРЯНИКИ Печенье сахарн с нач 370г фл/п(РусскПрян):16,139.99,228.99,-39%
РУЗКОМ Окорок Деликатесный 325г мясн прод(Рузком):24,139.99,189.99,-26%
РОТ ФРОНТ Халва в шоколаде 370г(Рот-Фронт):8,249.99,422.99,-41%
РОС ЩЕДР ДУША GoldSelection Шокол мол/бел йог нач/клуб82г:10,69.99,131.99,-47%
РОС ЩЕДР ДУШАGoldSelection Шок мол/бел/йог нач/лав/гол82г:10,69.99,131.99,-47%
РОС ЩЕДР ДУШ GoldSelection Шокол Бел Дуэт в клуб 85г фл/п:10,69.99,131.99,-47%
РОССИЯ Щедр душа Nuts Шоколад мол солен карам/фундук 200г:10,159.99,263.99,-39%
РОССИЯ Щедр душа Maxibon Шоколад сэндвич карам/морож 198г:10,159.99,272.99,-41%
РОССИЯ ЩЕДРАЯ ДУША со вк мор Maxibon и печен 80г:10,69.99,138.99,-50%
РОССИЯ ЩЕДРАЯ ДУША со вк клуб и печен Maxibon 80г:10,69.99,138.99,-50%
РОССИЯ-ЩЕДРАЯ ДУША Gold Selection Шоколад темн фундук 85г:10,79.99,149.99,-47%
РОССИЯ-ЩЕДРАЯ ДУША Gold Selection Шоколад мол фундук 85г:10,79.99,149.99,-47%
РОССИЯ ЩЕД ДУША GoldSelec Шок мол орех пек/клен сироп198г:10,159.99,274.99,-42%
РОССИЯ GOLD SELECTION Шоколад Карамелло 82г:21,69.99,132.99,-47%
РОССИЯ GOLD SELECTION Шок мол цельный миндаль мед 80г:10,79.99,154.99,-48%
РОССИЯ GOLD SELECTION Шок бел цельный миндаль кокос 80г:10,79.99,151.99,-47%
РОЛЛТОН Картофельное пюре 240г (Маревен Фуд Сэнтрал) :10,89.99,133.99,-33%
РИГЛИ Five Ж/р Электро 31г(ООО Ригли) :10/180,74.99,88.99,-16%
РИГЛИ Five Жев резинка циклон 31г(Ригли):10/180,74.99,88.99,-16%
РБА Ополаск д/рта Органический таежный детокс 250мл п/бут:10,159.99,229.99,-30%
РБА Ополаск д/рта Органический соленый мед 250мл пл/бут:10,159.99,229.99,-30%
РБА Ополаск д/рта Органическая лесная ягода 250мл пл/бут:10,159.99,229.99,-30%
"Пюре АГУША, в ассортименте, 90г",,,
ПФ из рыбы Форель потр б/г (изгот из морож сырья)(СП ГМ),869.99,988.99,-12%
ПФ из рыбы Тушка лосося атлантич 1-3 (изгот из зам)(СП ГМ),799.99,1336.99,-40%
ПФ из рыбы Горбуша потр б/г (изгот из морож сырья)(СП ГМ),269.99,469.99,-43%
ПФ из мяса птицы натур охл Голень индейки (СП ГМ),219.99,299.99,-27%
Путешествие Тёмный шоколад 82г(Нестле):22,69.99,116.99,-40%
"ПСЫЖ МинерВода лечеб-столов прир газ0,5л ст/бут(Аквалайн):12",72.99,95.99,-24%
"Пряники Стойленские 0,35кг(ОАО Колос):12",74.99,85.29,-12%
Пресс для чеснока нерж.сталь 140гр (СИ):6/144,219.99,269.99,-19%
Полироль матовый GRASS Polyrole Matte ваниль:6,199.99,279.99,-29%
Подушка 70х70 Лебяжий пух Wellfort(Каригуз):10,799.99,999.99,-20%
Подушка 50х70 Лебяжий пух Wellfort(Каригуз):10,699.99,899.99,-22%
"Питьевая вода АКВА МИНЕРАЛЕ, негазированная,1 штука, 2л",64.99,,
"Пирог Трехслойник с кураг чернослив и лимон нач (в)(СП ГМ), 100г",39.99,49.99,-20%
ПИКАНТА Фасоль по-монастырски с овощами 470г ст/бан:6,129.99,199.99,-35%
ПИКАНТА Фасоль печеная в томатном соусе 470г ст/бан:6,129.99,189.99,-32%
ПИКАНТА Томатная паста 270г ст/б:6,99.99,122.99,-19%
ПИКАНТА Баклажаны печеные в т/с 450г ст/б(Вкусный продукт):6,129.99,179.99,-28%
"Печенье ПОСИДЕЛКИНО, овсяное классическое, 320г",74.99,106.99,-30%
"Печенье ОВСЯНОЧКА, Овсяное, 400г",89.99,129.99,-31%
"Пена для волос TAFT®, Классик, Объем, 150мл",309.99,409.99,-24%
"Пена для бритья АРКО, Сенситив,1 штука, 200мл",194.99,249.99,-22%
